AFORE,SIEFORE,Fecha,IRN,Ranking
  XXI-Banorte,SB 70-74,sep-21,7.52,4
  Azteca,SB 70-74,oct-21,6.86,8
  Citibanamex,SB 70-74,oct-21,7.86,3
  Coppel,SB 70-74,oct-21,7.14,6
  Inbursa,SB 70-74,oct-21,6.72,9
  Invercap,SB 70-74,oct-21,6.10,10
  PensionISSSTE,SB 70-74,oct-21,6.94,7
  Principal,SB 70-74,oct-21,7.48,5
  Profuturo,SB 70-74,oct-21,8.14,1
  SURA,SB 70-74,oct-21,7.98,2
  XXI-Banorte,SB 70-74,oct-21,7.55,4
  Azteca,SB 70-74,nov-21,6.92,8
  Citibanamex,SB 70-74,nov-21,7.98,3
  Coppel,SB 70-74,nov-21,7.15,6
  Inbursa,SB 70-74,nov-21,6.73,9
  Invercap,SB 70-74,nov-21,6.19,10
  PensionISSSTE,SB 70-74,nov-21,7.05,7
  Principal,SB 70-74,nov-21,7.61,5
  Profuturo,SB 70-74,nov-21,8.27,1
  SURA,SB 70-74,nov-21,8.06,2
  XXI-Banorte,SB 70-74,nov-21,7.68,4
  Azteca,SB 70-74,dic-21,6.99,8
  Citibanamex,SB 70-74,dic-21,8.08,3
  Coppel,SB 70-74,dic-21,7.12,7
  Inbursa,SB 70-74,dic-21,6.75,9
  Invercap,SB 70-74,dic-21,6.28,10
  PensionISSSTE,SB 70-74,dic-21,7.20,6
  Principal,SB 70-74,dic-21,7.74,5
  Profuturo,SB 70-74,dic-21,8.38,1
  SURA,SB 70-74,dic-21,8.14,2
  XXI-Banorte,SB 70-74,dic-21,7.81,4
  Azteca,SB 75-79,ene-21,6.74,8
  Citibanamex,SB 75-79,ene-21,7.09,4
  Coppel,SB 75-79,ene-21,7.32,3
  Inbursa,SB 75-79,ene-21,6.69,9
  Invercap,SB 75-79,ene-21,5.64,10
  PensionISSSTE,SB 75-79,ene-21,6.83,7
  Principal,SB 75-79,ene-21,7.02,5
  Profuturo,SB 75-79,ene-21,7.88,1
  SURA,SB 75-79,ene-21,7.37,2
  XXI-Banorte,SB 75-79,ene-21,7.00,6
  Azteca,SB 75-79,feb-21,6.90,8
  Citibanamex,SB 75-79,feb-21,7.38,4
  Coppel,SB 75-79,feb-21,7.47,3
  Inbursa,SB 75-79,feb-21,6.78,9
  Invercap,SB 75-79,feb-21,5.86,10
  PensionISSSTE,SB 75-79,feb-21,6.95,7
  Principal,SB 75-79,feb-21,7.24,5
  Profuturo,SB 75-79,feb-21,8.07,1
  SURA,SB 75-79,feb-21,7.65,2
  XXI-Banorte,SB 75-79,feb-21,7.19,6
  Azteca,SB 75-79,mar-21,7.07,8
  Citibanamex,SB 75-79,mar-21,7.65,3
  Coppel,SB 75-79,mar-21,7.64,4
  Inbursa,SB 75-79,mar-21,6.90,9
  Invercap,SB 75-79,mar-21,6.07,10
  PensionISSSTE,SB 75-79,mar-21,7.10,7
  Principal,SB 75-79,mar-21,7.46,5
  Profuturo,SB 75-79,mar-21,8.25,1
  SURA,SB 75-79,mar-21,7.91,2
  XXI-Banorte,SB 75-79,mar-21,7.36,6
  Azteca,SB 75-79,abr-21,7.20,7
  Citibanamex,SB 75-79,abr-21,7.91,3
  Coppel,SB 75-79,abr-21,7.76,4
  Inbursa,SB 75-79,abr-21,7.00,9
  Invercap,SB 75-79,abr-21,6.27,10
  PensionISSSTE,SB 75-79,abr-21,7.20,8
  Principal,SB 75-79,abr-21,7.68,5
  Profuturo,SB 75-79,abr-21,8.42,1
  SURA,SB 75-79,abr-21,8.16,2
  XXI-Banorte,SB 75-79,abr-21,7.55,6
  Azteca,SB 75-79,may-21,7.29,7
  Citibanamex,SB 75-79,may-21,8.10,3
  Coppel,SB 75-79,may-21,7.83,4
  Inbursa,SB 75-79,may-21,7.07,9
  Invercap,SB 75-79,may-21,6.40,10
  PensionISSSTE,SB 75-79,may-21,7.27,8
  Principal,SB 75-79,may-21,7.83,5
  Profuturo,SB 75-79,may-21,8.54,1
  SURA,SB 75-79,may-21,8.34,2
  XXI-Banorte,SB 75-79,may-21,7.69,6
  Azteca,SB 75-79,jun-21,7.31,8
  Citibanamex,SB 75-79,jun-21,8.21,3
  Coppel,SB 75-79,jun-21,7.87,5
  Inbursa,SB 75-79,jun-21,7.10,9
  Invercap,SB 75-79,jun-21,6.48,10
  PensionISSSTE,SB 75-79,jun-21,7.31,7
  Principal,SB 75-79,jun-21,7.93,4
  Profuturo,SB 75-79,jun-21,8.63,1
  SURA,SB 75-79,jun-21,8.44,2
  XXI-Banorte,SB 75-79,jun-21,7.78,6
  Azteca,SB 75-79,jul-21,7.21,8
  Citibanamex,SB 75-79,jul-21,8.20,3
  Coppel,SB 75-79,jul-21,7.78,6
  Inbursa,SB 75-79,jul-21,7.06,9
  Invercap,SB 75-79,jul-21,6.43,10
  PensionISSSTE,SB 75-79,jul-21,7.25,7
  Principal,SB 75-79,jul-21,7.91,4
  Profuturo,SB 75-79,jul-21,8.60,1
  SURA,SB 75-79,jul-21,8.40,2
  XXI-Banorte,SB 75-79,jul-21,7.78,5
  Azteca,SB 75-79,ago-21,7.07,8
  Citibanamex,SB 75-79,ago-21,8.11,3
  Coppel,SB 75-79,ago-21,7.63,6
  Inbursa,SB 75-79,ago-21,7.03,9
  Invercap,SB 75-79,ago-21,6.32,10
  PensionISSSTE,SB 75-79,ago-21,7.15,7
  Principal,SB 75-79,ago-21,7.84,4
  Profuturo,SB 75-79,ago-21,8.50,1
  SURA,SB 75-79,ago-21,8.28,2
  XXI-Banorte,SB 75-79,ago-21,7.72,5
  Azteca,SB 75-79,sep-21,6.98,9
  Citibanamex,SB 75-79,sep-21,8.09,3
  Coppel,SB 75-79,sep-21,7.52,6
  Inbursa,SB 75-79,sep-21,6.98,8
  Invercap,SB 75-79,sep-21,6.25,10
  PensionISSSTE,SB 75-79,sep-21,7.10,7
  Principal,SB 75-79,sep-21,7.81,4
  Profuturo,SB 75-79,sep-21,8.47,1
  SURA,SB 75-79,sep-21,8.23,2
  XXI-Banorte,SB 75-79,sep-21,7.73,5
  Azteca,SB 75-79,oct-21,6.95,9
  Citibanamex,SB 75-79,oct-21,8.10,3
  Coppel,SB 75-79,oct-21,7.47,6
  Inbursa,SB 75-79,oct-21,6.98,8
  Invercap,SB 75-79,oct-21,6.24,10
  PensionISSSTE,SB 75-79,oct-21,7.11,7
  Principal,SB 75-79,oct-21,7.85,4
  Profuturo,SB 75-79,oct-21,8.51,1
  SURA,SB 75-79,oct-21,8.22,2
  XXI-Banorte,SB 75-79,oct-21,7.77,5
  Azteca,SB 75-79,nov-21,7.02,8
  Citibanamex,SB 75-79,nov-21,8.22,3
  Coppel,SB 75-79,nov-21,7.50,6
  Inbursa,SB 75-79,nov-21,6.99,9
  Invercap,SB 75-79,nov-21,6.35,10
  PensionISSSTE,SB 75-79,nov-21,7.23,7
  Principal,SB 75-79,nov-21,8.01,4
  Profuturo,SB 75-79,nov-21,8.65,1
  SURA,SB 75-79,nov-21,8.31,2
  XXI-Banorte,SB 75-79,nov-21,7.93,5
  Azteca,SB 75-79,dic-21,7.08,8
  Citibanamex,SB 75-79,dic-21,8.35,3
  Coppel,SB 75-79,dic-21,7.49,6
  Inbursa,SB 75-79,dic-21,6.99,9
  Invercap,SB 75-79,dic-21,6.47,10
  PensionISSSTE,SB 75-79,dic-21,7.39,7
  Principal,SB 75-79,dic-21,8.16,4
  Profuturo,SB 75-79,dic-21,8.77,1
  SURA,SB 75-79,dic-21,8.40,2
  XXI-Banorte,SB 75-79,dic-21,8.08,5
  Azteca,SB 80-84,ene-21,6.79,7
  Citibanamex,SB 80-84,ene-21,7.19,4
  Coppel,SB 80-84,ene-21,7.28,3
  Inbursa,SB 80-84,ene-21,6.66,8
  Invercap,SB 80-84,ene-21,5.85,10
  PensionISSSTE,SB 80-84,ene-21,6.61,9
  Principal,SB 80-84,ene-21,6.93,6
  Profuturo,SB 80-84,ene-21,8.24,1
  SURA,SB 80-84,ene-21,7.41,2
  XXI-Banorte,SB 80-84,ene-21,7.09,5
  Azteca,SB 80-84,feb-21,6.96,7
  Citibanamex,SB 80-84,feb-21,7.50,3
  Coppel,SB 80-84,feb-21,7.43,4
  Inbursa,SB 80-84,feb-21,6.76,8
  Invercap,SB 80-84,feb-21,6.11,10
  PensionISSSTE,SB 80-84,feb-21,6.74,9
  Principal,SB 80-84,feb-21,7.17,6
  Profuturo,SB 80-84,feb-21,8.45,1
  SURA,SB 80-84,feb-21,7.73,2
  XXI-Banorte,SB 80-84,feb-21,7.31,5
  Azteca,SB 80-84,mar-21,7.14,7
  Citibanamex,SB 80-84,mar-21,7.81,3
  Coppel,SB 80-84,mar-21,7.61,4
  Inbursa,SB 80-84,mar-21,6.90,9
  Invercap,SB 80-84,mar-21,6.37,10
  PensionISSSTE,SB 80-84,mar-21,6.91,8
  Principal,SB 80-84,mar-21,7.41,6
  Profuturo,SB 80-84,mar-21,8.65,1
  SURA,SB 80-84,mar-21,8.03,2
  XXI-Banorte,SB 80-84,mar-21,7.54,5
  Azteca,SB 80-84,abr-21,7.30,7
  Citibanamex,SB 80-84,abr-21,8.10,3
  Coppel,SB 80-84,abr-21,7.76,5
  Inbursa,SB 80-84,abr-21,7.02,9
  Invercap,SB 80-84,abr-21,6.61,10
  PensionISSSTE,SB 80-84,abr-21,7.03,8
  Principal,SB 80-84,abr-21,7.65,6
  Profuturo,SB 80-84,abr-21,8.85,1
  SURA,SB 80-84,abr-21,8.31,2
  XXI-Banorte,SB 80-84,abr-21,7.78,4
  Azteca,SB 80-84,may-21,7.39,7
  Citibanamex,SB 80-84,may-21,8.31,3
  Coppel,SB 80-84,may-21,7.86,5
  Inbursa,SB 80-84,may-21,7.12,9
  Invercap,SB 80-84,may-21,6.79,10
  PensionISSSTE,SB 80-84,may-21,7.12,8
  Principal,SB 80-84,may-21,7.81,6
  Profuturo,SB 80-84,may-21,9.01,1
  SURA,SB 80-84,may-21,8.54,2
  XXI-Banorte,SB 80-84,may-21,7.97,4
  Azteca,SB 80-84,jun-21,7.41,7
  Citibanamex,SB 80-84,jun-21,8.44,3
  Coppel,SB 80-84,jun-21,7.92,6
  Inbursa,SB 80-84,jun-21,7.18,8
  Invercap,SB 80-84,jun-21,6.88,10
  PensionISSSTE,SB 80-84,jun-21,7.17,9
  Principal,SB 80-84,jun-21,7.92,5
  Profuturo,SB 80-84,jun-21,9.12,1
  SURA,SB 80-84,jun-21,8.69,2
  XXI-Banorte,SB 80-84,jun-21,8.12,4
  Azteca,SB 80-84,jul-21,7.32,7
  Citibanamex,SB 80-84,jul-21,8.44,3
  Coppel,SB 80-84,jul-21,7.85,6
  Inbursa,SB 80-84,jul-21,7.16,8
  Invercap,SB 80-84,jul-21,6.85,10
  PensionISSSTE,SB 80-84,jul-21,7.12,9
  Principal,SB 80-84,jul-21,7.91,5
  Profuturo,SB 80-84,jul-21,9.11,1
  SURA,SB 80-84,jul-21,8.67,2
  XXI-Banorte,SB 80-84,jul-21,8.15,4
  Azteca,SB 80-84,ago-21,7.18,7
  Citibanamex,SB 80-84,ago-21,8.35,3
  Coppel,SB 80-84,ago-21,7.73,6
  Inbursa,SB 80-84,ago-21,7.15,8
  Invercap,SB 80-84,ago-21,6.74,10
  PensionISSSTE,SB 80-84,ago-21,7.04,9
  Principal,SB 80-84,ago-21,7.84,5
  Profuturo,SB 80-84,ago-21,9.02,1
  SURA,SB 80-84,ago-21,8.58,2
  XXI-Banorte,SB 80-84,ago-21,8.12,4
  Azteca,SB 80-84,sep-21,7.09,8
  Citibanamex,SB 80-84,sep-21,8.33,3
  Coppel,SB 80-84,sep-21,7.64,6
  Inbursa,SB 80-84,sep-21,7.12,7
  Invercap,SB 80-84,sep-21,6.70,10
  PensionISSSTE,SB 80-84,sep-21,6.99,9
  Principal,SB 80-84,sep-21,7.82,5
  Profuturo,SB 80-84,sep-21,9.00,1
  SURA,SB 80-84,sep-21,8.55,2
  XXI-Banorte,SB 80-84,sep-21,8.15,4
  Azteca,SB 80-84,oct-21,7.06,8
  Citibanamex,SB 80-84,oct-21,8.35,3
  Coppel,SB 80-84,oct-21,7.62,6
  Inbursa,SB 80-84,oct-21,7.13,7
  Invercap,SB 80-84,oct-21,6.71,10
  PensionISSSTE,SB 80-84,oct-21,7.02,9
  Principal,SB 80-84,oct-21,7.85,5
  Profuturo,SB 80-84,oct-21,9.04,1
  SURA,SB 80-84,oct-21,8.55,2
  XXI-Banorte,SB 80-84,oct-21,8.21,4
  Azteca,SB 80-84,nov-21,7.13,9
  Citibanamex,SB 80-84,nov-21,8.50,3
  Coppel,SB 80-84,nov-21,7.67,6
  Inbursa,SB 80-84,nov-21,7.13,8
  Invercap,SB 80-84,nov-21,6.85,10
  PensionISSSTE,SB 80-84,nov-21,7.15,7
  Principal,SB 80-84,nov-21,8.02,5
  Profuturo,SB 80-84,nov-21,9.20,1
  SURA,SB 80-84,nov-21,8.67,2
  XXI-Banorte,SB 80-84,nov-21,8.40,4
  Azteca,SB 80-84,dic-21,7.20,8
  Citibanamex,SB 80-84,dic-21,8.64,3
  Coppel,SB 80-84,dic-21,7.69,6
  Inbursa,SB 80-84,dic-21,7.14,9
  Invercap,SB 80-84,dic-21,7.01,10
  PensionISSSTE,SB 80-84,dic-21,7.32,7
  Principal,SB 80-84,dic-21,8.18,5
  Profuturo,SB 80-84,dic-21,9.33,1
  SURA,SB 80-84,dic-21,8.77,2
  XXI-Banorte,SB 80-84,dic-21,8.57,4
  Azteca,SB 85-89,ene-21,6.93,7
  Citibanamex,SB 85-89,ene-21,7.34,4
  Coppel,SB 85-89,ene-21,7.39,3
  Inbursa,SB 85-89,ene-21,6.69,8
  Invercap,SB 85-89,ene-21,5.75,10
  PensionISSSTE,SB 85-89,ene-21,6.58,9
  Principal,SB 85-89,ene-21,7.18,6
  Profuturo,SB 85-89,ene-21,8.58,1
  SURA,SB 85-89,ene-21,7.74,2
  XXI-Banorte,SB 85-89,ene-21,7.20,5
  Azteca,SB 85-89,feb-21,7.10,7
  Citibanamex,SB 85-89,feb-21,7.65,3
  Coppel,SB 85-89,feb-21,7.55,4
  Inbursa,SB 85-89,feb-21,6.79,8
  Invercap,SB 85-89,feb-21,6.03,10
  PensionISSSTE,SB 85-89,feb-21,6.73,9
  Principal,SB 85-89,feb-21,7.42,6
  Profuturo,SB 85-89,feb-21,8.79,1
  SURA,SB 85-89,feb-21,8.06,2
  XXI-Banorte,SB 85-89,feb-21,7.43,5
  Azteca,SB 85-89,mar-21,7.30,7
  Citibanamex,SB 85-89,mar-21,7.95,3
  Coppel,SB 85-89,mar-21,7.73,4
  Inbursa,SB 85-89,mar-21,6.95,8
  Invercap,SB 85-89,mar-21,6.30,10
  PensionISSSTE,SB 85-89,mar-21,6.90,9
  Principal,SB 85-89,mar-21,7.68,5
  Profuturo,SB 85-89,mar-21,8.99,1
  SURA,SB 85-89,mar-21,8.37,2
  XXI-Banorte,SB 85-89,mar-21,7.67,6
  Azteca,SB 85-89,abr-21,7.47,7
  Citibanamex,SB 85-89,abr-21,8.24,3
  Coppel,SB 85-89,abr-21,7.88,6
  Inbursa,SB 85-89,abr-21,7.10,8
  Invercap,SB 85-89,abr-21,6.56,10
  PensionISSSTE,SB 85-89,abr-21,7.03,9
  Principal,SB 85-89,abr-21,7.93,4
  Profuturo,SB 85-89,abr-21,9.20,1
  SURA,SB 85-89,abr-21,8.66,2
  XXI-Banorte,SB 85-89,abr-21,7.92,5
  Azteca,SB 85-89,may-21,7.57,7
  Citibanamex,SB 85-89,may-21,8.45,3
  Coppel,SB 85-89,may-21,7.98,6
  Inbursa,SB 85-89,may-21,7.22,8
  Invercap,SB 85-89,may-21,6.75,10
  PensionISSSTE,SB 85-89,may-21,7.13,9
  Principal,SB 85-89,may-21,8.11,5
  Profuturo,SB 85-89,may-21,9.35,1
  SURA,SB 85-89,may-21,8.89,2
  XXI-Banorte,SB 85-89,may-21,8.12,4
  Azteca,SB 85-89,jun-21,7.60,7
  Citibanamex,SB 85-89,jun-21,8.57,3
  Coppel,SB 85-89,jun-21,8.05,6
  Inbursa,SB 85-89,jun-21,7.31,8
  Invercap,SB 85-89,jun-21,6.87,10
  PensionISSSTE,SB 85-89,jun-21,7.19,9
  Principal,SB 85-89,jun-21,8.23,5
  Profuturo,SB 85-89,jun-21,9.46,1
  SURA,SB 85-89,jun-21,9.04,2
  XXI-Banorte,SB 85-89,jun-21,8.27,4
  Azteca,SB 85-89,jul-21,7.50,7
  Citibanamex,SB 85-89,jul-21,8.57,3
  Coppel,SB 85-89,jul-21,7.98,6
  Inbursa,SB 85-89,jul-21,7.32,8
  Invercap,SB 85-89,jul-21,6.84,10
  PensionISSSTE,SB 85-89,jul-21,7.14,9
  Principal,SB 85-89,jul-21,8.23,5
  Profuturo,SB 85-89,jul-21,9.45,1
  SURA,SB 85-89,jul-21,9.02,2
  XXI-Banorte,SB 85-89,jul-21,8.31,4
  Azteca,SB 85-89,ago-21,7.37,7
  Citibanamex,SB 85-89,ago-21,8.48,3
  Coppel,SB 85-89,ago-21,7.87,6
  Inbursa,SB 85-89,ago-21,7.32,8
  Invercap,SB 85-89,ago-21,6.74,10
  PensionISSSTE,SB 85-89,ago-21,7.06,9
  Principal,SB 85-89,ago-21,8.15,5
  Profuturo,SB 85-89,ago-21,9.35,1
  SURA,SB 85-89,ago-21,8.92,2
  XXI-Banorte,SB 85-89,ago-21,8.28,4
  Azteca,SB 85-89,sep-21,7.27,8
  Citibanamex,SB 85-89,sep-21,8.46,3
  Coppel,SB 85-89,sep-21,7.79,6
  Inbursa,SB 85-89,sep-21,7.30,7
  Invercap,SB 85-89,sep-21,6.70,10
  PensionISSSTE,SB 85-89,sep-21,7.03,9
  Principal,SB 85-89,sep-21,8.14,5
  Profuturo,SB 85-89,sep-21,9.33,1
  SURA,SB 85-89,sep-21,8.89,2
  XXI-Banorte,SB 85-89,sep-21,8.32,4
  Azteca,SB 85-89,oct-21,7.25,8
  Citibanamex,SB 85-89,oct-21,8.47,3
  Coppel,SB 85-89,oct-21,7.77,6
  Inbursa,SB 85-89,oct-21,7.32,7
  Invercap,SB 85-89,oct-21,6.72,10
  PensionISSSTE,SB 85-89,oct-21,7.06,9
  Principal,SB 85-89,oct-21,8.17,5
  Profuturo,SB 85-89,oct-21,9.37,1
  SURA,SB 85-89,oct-21,8.88,2
  XXI-Banorte,SB 85-89,oct-21,8.38,4
  Azteca,SB 85-89,nov-21,7.32,8
  Citibanamex,SB 85-89,nov-21,8.62,3
  Coppel,SB 85-89,nov-21,7.83,6
  Inbursa,SB 85-89,nov-21,7.33,7
  Invercap,SB 85-89,nov-21,6.87,10
  PensionISSSTE,SB 85-89,nov-21,7.20,9
  Principal,SB 85-89,nov-21,8.34,5
  Profuturo,SB 85-89,nov-21,9.53,1
  SURA,SB 85-89,nov-21,8.99,2
  XXI-Banorte,SB 85-89,nov-21,8.57,4
  Azteca,SB 85-89,dic-21,7.39,7
  Citibanamex,SB 85-89,dic-21,8.77,3
  Coppel,SB 85-89,dic-21,7.85,6
  Inbursa,SB 85-89,dic-21,7.32,9
  Invercap,SB 85-89,dic-21,7.04,10
  PensionISSSTE,SB 85-89,dic-21,7.38,8
  Principal,SB 85-89,dic-21,8.50,5
  Profuturo,SB 85-89,dic-21,9.65,1
  SURA,SB 85-89,dic-21,9.10,2
  XXI-Banorte,SB 85-89,dic-21,8.75,4
  Azteca,SB 90-94,ene-21,6.82,7
  Citibanamex,SB 90-94,ene-21,7.14,4
  Coppel,SB 90-94,ene-21,7.30,3
  Inbursa,SB 90-94,ene-21,6.61,9
  Invercap,SB 90-94,ene-21,5.93,10
  PensionISSSTE,SB 90-94,ene-21,6.63,8
  Principal,SB 90-94,ene-21,7.06,6
  Profuturo,SB 90-94,ene-21,8.45,1
  SURA,SB 90-94,ene-21,7.60,2
  XXI-Banorte,SB 90-94,ene-21,7.12,5
  Azteca,SB 90-94,feb-21,7.00,7
  Citibanamex,SB 90-94,feb-21,7.45,4
  Coppel,SB 90-94,feb-21,7.45,3
  Inbursa,SB 90-94,feb-21,6.72,9
  Invercap,SB 90-94,feb-21,6.21,10
  PensionISSSTE,SB 90-94,feb-21,6.79,8
  Principal,SB 90-94,feb-21,7.30,6
  Profuturo,SB 90-94,feb-21,8.66,1
  SURA,SB 90-94,feb-21,7.92,2
  XXI-Banorte,SB 90-94,feb-21,7.35,5
  Azteca,SB 90-94,mar-21,7.20,7
  Citibanamex,SB 90-94,mar-21,7.74,3
  Coppel,SB 90-94,mar-21,7.64,4
  Inbursa,SB 90-94,mar-21,6.90,9
  Invercap,SB 90-94,mar-21,6.47,10
  PensionISSSTE,SB 90-94,mar-21,6.99,8
  Principal,SB 90-94,mar-21,7.55,6
  Profuturo,SB 90-94,mar-21,8.84,1
  SURA,SB 90-94,mar-21,8.22,2
  XXI-Banorte,SB 90-94,mar-21,7.58,5
  Azteca,SB 90-94,abr-21,7.38,7
  Citibanamex,SB 90-94,abr-21,8.03,3
  Coppel,SB 90-94,abr-21,7.79,6
  Inbursa,SB 90-94,abr-21,7.07,9
  Invercap,SB 90-94,abr-21,6.72,10
  PensionISSSTE,SB 90-94,abr-21,7.15,8
  Principal,SB 90-94,abr-21,7.80,5
  Profuturo,SB 90-94,abr-21,9.05,1
  SURA,SB 90-94,abr-21,8.52,2
  XXI-Banorte,SB 90-94,abr-21,7.84,4
  Azteca,SB 90-94,may-21,7.48,7
  Citibanamex,SB 90-94,may-21,8.24,3
  Coppel,SB 90-94,may-21,7.89,6
  Inbursa,SB 90-94,may-21,7.22,9
  Invercap,SB 90-94,may-21,6.90,10
  PensionISSSTE,SB 90-94,may-21,7.26,8
  Principal,SB 90-94,may-21,7.98,5
  Profuturo,SB 90-94,may-21,9.19,1
  SURA,SB 90-94,may-21,8.75,2
  XXI-Banorte,SB 90-94,may-21,8.03,4
  Azteca,SB 90-94,jun-21,7.51,7
  Citibanamex,SB 90-94,jun-21,8.36,3
  Coppel,SB 90-94,jun-21,7.96,6
  Inbursa,SB 90-94,jun-21,7.32,9
  Invercap,SB 90-94,jun-21,7.01,10
  PensionISSSTE,SB 90-94,jun-21,7.34,8
  Principal,SB 90-94,jun-21,8.10,5
  Profuturo,SB 90-94,jun-21,9.30,1
  SURA,SB 90-94,jun-21,8.91,2
  XXI-Banorte,SB 90-94,jun-21,8.19,4
  Azteca,SB 90-94,jul-21,7.42,7
  Citibanamex,SB 90-94,jul-21,8.36,3
  Coppel,SB 90-94,jul-21,7.89,6
  Inbursa,SB 90-94,jul-21,7.35,8
  Invercap,SB 90-94,jul-21,6.98,10
  PensionISSSTE,SB 90-94,jul-21,7.31,9
  Principal,SB 90-94,jul-21,8.10,5
  Profuturo,SB 90-94,jul-21,9.29,1
  SURA,SB 90-94,jul-21,8.90,2
  XXI-Banorte,SB 90-94,jul-21,8.22,4
  Azteca,SB 90-94,ago-21,7.28,8
  Citibanamex,SB 90-94,ago-21,8.28,3
  Coppel,SB 90-94,ago-21,7.78,6
  Inbursa,SB 90-94,ago-21,7.37,7
  Invercap,SB 90-94,ago-21,6.88,10
  PensionISSSTE,SB 90-94,ago-21,7.24,9
  Principal,SB 90-94,ago-21,8.03,5
  Profuturo,SB 90-94,ago-21,9.19,1
  SURA,SB 90-94,ago-21,8.82,2
  XXI-Banorte,SB 90-94,ago-21,8.18,4
  Azteca,SB 90-94,sep-21,7.19,9
  Citibanamex,SB 90-94,sep-21,8.25,3
  Coppel,SB 90-94,sep-21,7.69,6
  Inbursa,SB 90-94,sep-21,7.36,7
  Invercap,SB 90-94,sep-21,6.84,10
  PensionISSSTE,SB 90-94,sep-21,7.22,8
  Principal,SB 90-94,sep-21,8.01,5
  Profuturo,SB 90-94,sep-21,9.17,1
  SURA,SB 90-94,sep-21,8.79,2
  XXI-Banorte,SB 90-94,sep-21,8.21,4
  Azteca,SB 90-94,oct-21,7.17,9
  Citibanamex,SB 90-94,oct-21,8.27,3
  Coppel,SB 90-94,oct-21,7.67,6
  Inbursa,SB 90-94,oct-21,7.39,7
  Invercap,SB 90-94,oct-21,6.86,10
  PensionISSSTE,SB 90-94,oct-21,7.27,8
  Principal,SB 90-94,oct-21,8.04,5
  Profuturo,SB 90-94,oct-21,9.20,1
  SURA,SB 90-94,oct-21,8.79,2
  XXI-Banorte,SB 90-94,oct-21,8.27,4
  Azteca,SB 90-94,nov-21,7.25,9
  Citibanamex,SB 90-94,nov-21,8.42,4
  Coppel,SB 90-94,nov-21,7.72,6
  Inbursa,SB 90-94,nov-21,7.39,8
  Invercap,SB 90-94,nov-21,7.01,10
  PensionISSSTE,SB 90-94,nov-21,7.42,7
  Principal,SB 90-94,nov-21,8.21,5
  Profuturo,SB 90-94,nov-21,9.35,1
  SURA,SB 90-94,nov-21,8.91,2
  XXI-Banorte,SB 90-94,nov-21,8.45,3
  Azteca,SB 90-94,dic-21,7.32,9
  Citibanamex,SB 90-94,dic-21,8.57,4
  Coppel,SB 90-94,dic-21,7.75,6
  Inbursa,SB 90-94,dic-21,7.38,8
  Invercap,SB 90-94,dic-21,7.18,10
  PensionISSSTE,SB 90-94,dic-21,7.61,7
  Principal,SB 90-94,dic-21,8.36,5
  Profuturo,SB 90-94,dic-21,9.48,1
  SURA,SB 90-94,dic-21,9.02,2
  XXI-Banorte,SB 90-94,dic-21,8.62,3
  Azteca,SB Inicial,ene-21,6.76,7
  Citibanamex,SB Inicial,ene-21,6.90,5
  Coppel,SB Inicial,ene-21,7.25,3
  Inbursa,SB Inicial,ene-21,6.55,9
  Invercap,SB Inicial,ene-21,5.64,10
  PensionISSSTE,SB Inicial,ene-21,6.57,8
  Principal,SB Inicial,ene-21,6.95,4
  Profuturo,SB Inicial,ene-21,8.43,1
  SURA,SB Inicial,ene-21,7.54,2
  XXI-Banorte,SB Inicial,ene-21,6.88,6
  Azteca,SB Inicial,feb-21,6.94,7
  Citibanamex,SB Inicial,feb-21,7.20,4
  Coppel,SB Inicial,feb-21,7.40,3
  Inbursa,SB Inicial,feb-21,6.65,9
  Invercap,SB Inicial,feb-21,5.91,10
  PensionISSSTE,SB Inicial,feb-21,6.69,8
  Principal,SB Inicial,feb-21,7.19,5
  Profuturo,SB Inicial,feb-21,8.63,1
  SURA,SB Inicial,feb-21,7.86,2
  XXI-Banorte,SB Inicial,feb-21,7.10,6
  Azteca,SB Inicial,mar-21,7.14,7
  Citibanamex,SB Inicial,mar-21,7.48,4
  Coppel,SB Inicial,mar-21,7.58,3
  Inbursa,SB Inicial,mar-21,6.81,9
  Invercap,SB Inicial,mar-21,6.17,10
  PensionISSSTE,SB Inicial,mar-21,6.84,8
  Principal,SB Inicial,mar-21,7.44,5
  Profuturo,SB Inicial,mar-21,8.81,1
  SURA,SB Inicial,mar-21,8.17,2
  XXI-Banorte,SB Inicial,mar-21,7.32,6
  Azteca,SB Inicial,abr-21,7.31,7
  Citibanamex,SB Inicial,abr-21,7.77,3
  Coppel,SB Inicial,abr-21,7.73,4
  Inbursa,SB Inicial,abr-21,6.96,9
  Invercap,SB Inicial,abr-21,6.42,10
  PensionISSSTE,SB Inicial,abr-21,6.96,8
  Principal,SB Inicial,abr-21,7.67,5
  Profuturo,SB Inicial,abr-21,9.00,1
  SURA,SB Inicial,abr-21,8.47,2
  XXI-Banorte,SB Inicial,abr-21,7.57,6
  Azteca,SB Inicial,may-21,7.41,7
  Citibanamex,SB Inicial,may-21,7.97,3
  Coppel,SB Inicial,may-21,7.82,5
  Inbursa,SB Inicial,may-21,7.09,8
  Invercap,SB Inicial,may-21,6.60,10
  PensionISSSTE,SB Inicial,may-21,7.03,9
  Principal,SB Inicial,may-21,7.84,4
  Profuturo,SB Inicial,may-21,9.14,1
  SURA,SB Inicial,may-21,8.70,2
